Date, Open, High, Low, Close, Volume
08/12/22, 868.245, 900.48, 855.10, 900.09, 26552430
08/11/22, 889.54, 894.71, 857.50, 859.89, 23385020
08/10/22, 891.20, 892.53, 850.11, 883.07, 31639619
08/09/22, 870.88, 877.19, 838.06, 850.00, 28748230
08/08/22, 885.00, 915.60, 867.2562, 871.27, 33121762
08/05/22, 908.01, 913.8199, 856.634, 864.51, 37724301
08/04/22, 933.00, 940.82, 915.00, 925.90, 24085439
08/03/22, 915.00, 928.65, 903.45, 922.19, 26697039
08/02/22, 882.01, 923.50, 878.00, 901.76, 31859160
08/01/22, 903.825, 935.6347, 885.00, 891.83, 39014301
07/29/22, 842.10, 894.96, 837.30, 891.45, 31770961
07/28/22, 840.20, 849.90, 818.40, 842.70, 28241000
07/27/22, 791.43, 827.7768, 785.3701, 824.46, 29370000
07/26/22, 799.54, 801.9299, 768.79, 776.58, 22273590
07/25/22, 816.65, 822.44, 802.20, 805.30, 21357840
07/22/22, 828.66, 842.36, 812.14, 816.73, 34490953
07/21/22, 765.32, 819.80, 764.60, 815.12, 47344059
07/20/22, 740.35, 751.99, 730.449, 742.50, 29621359
07/19/22, 735.00, 741.42, 710.93, 736.59, 26963369
07/18/22, 734.81, 751.55, 718.81, 721.64, 27512480
07/15/22, 720.00, 730.8699, 710.67, 720.20, 23227670
07/14/22, 704.69, 715.96, 688.00, 714.94, 26185830
07/13/22, 676.50, 726.1799, 675.10, 711.12, 32651500
07/12/22, 710.54, 719.32, 685.105, 699.21, 29310320
07/11/22, 756.31, 759.19, 700.88, 703.03, 33169738
07/08/22, 727.00, 764.9399, 723.4843, 752.29, 33951359
07/07/22, 701.76, 736.085, 696.63, 733.63, 27310230
07/06/22, 692.34, 703.69, 681.56, 695.20, 23951211
07/05/22, 669.00, 699.44, 648.5001, 699.20, 28259699
07/01/22, 681.00, 690.69, 666.3601, 681.79, 24820150
06/30/22, 673.53, 688.37, 656.59, 673.42, 31533480
06/29/22, 691.50, 693.52, 666.82, 685.47, 27632420
06/28/22, 733.45, 749.91, 697.03, 697.99, 30222170
06/27/22, 748.10, 756.21, 727.6966, 734.76, 29726100
06/24/22, 712.405, 738.20, 708.26, 737.12, 31923570
06/23/22, 713.715, 717.95, 685.91, 705.21, 34734230
06/22/22, 703.51, 740.50, 701.48, 708.26, 33842422
06/21/22, 673.81, 730.7321, 673.00, 711.11, 40930992
06/17/22, 640.30, 662.9082, 639.59, 650.28, 30880590
06/16/22, 668.21, 675.50, 626.08, 639.30, 35796898
06/15/22, 662.75, 706.9899, 654.45, 699.00, 39710648
06/14/22, 654.86, 678.99, 635.21, 662.67, 32662930
06/13/22, 669.50, 679.90, 644.05, 647.21, 34255754
06/10/22, 705.47, 718.50, 683.74, 696.69, 32696971
06/09/22, 748.02, 766.6399, 717.98, 719.12, 32163770
06/08/22, 720.26, 749.89, 717.53, 725.60, 25403539
06/07/22, 702.00, 719.99, 690.28, 716.66, 24269529
06/06/22, 733.06, 734.60, 703.05, 714.84, 28068170
06/03/22, 729.675, 743.3899, 700.2534, 703.55, 37464578
06/02/22, 732.47, 792.63, 726.20, 775.00, 31157711
06/01/22, 755.16, 771.98, 730.92, 740.37, 25749320
05/31/22, 773.84, 778.80, 734.23, 758.26, 33971461
05/27/22, 723.25, 759.80, 720.5311, 759.63, 29764990
05/26/22, 661.42, 718.6699, 653.66, 707.73, 35334449
05/25/22, 623.85, 669.32, 623.0101, 658.80, 30713109
05/24/22, 653.53, 653.92, 620.57, 628.16, 29697510
05/23/22, 655.02, 679.9551, 638.06, 674.90, 29634551
05/20/22, 713.99, 721.582, 633.00, 663.90, 48324441
05/19/22, 707.00, 734.00, 694.11, 709.42, 30098891
05/18/22, 744.52, 760.50, 700.81, 709.81, 29270600
05/17/22, 747.36, 764.48, 728.85, 761.61, 26745369
05/16/22, 767.16, 769.76, 719.0885, 724.37, 28699510
